期次,期号,标题,作者,日期,来源,字数,PDF路径,原文链接
2026年第3期,3,习近平总书记这样擘画金融强国建设,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\习近平总书记这样擘画金融强国建设.pdf,https://www.qstheory.cn/20260131/f48890de3fdc4099968d9a95b0d0b8da/c.html
2026年第3期,3,锚定建设金融强国目标 走好中国特色金融发展之路,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\锚定建设金融强国目标_走好中国特色金融发展之路.pdf,https://www.qstheory.cn/20260131/6df7acfd82504eeca482ad9d66043870/c.html
2026年第3期,3,着力提升我国金融业竞争力,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\着力提升我国金融业竞争力.pdf,https://www.qstheory.cn/20260131/9e80673cafc84a018cd4ffafa908cf37/c.html
2026年第3期,3,积极推动物价合理回升,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\积极推动物价合理回升.pdf,https://www.qstheory.cn/20260131/1ddc49bc8d5747dc9efe716cbadd2186/c.html
2026年第3期,3,以更高标准、更实举措推进全面从严治党 为实现“十五五”时期目标任务提供坚强保障,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\以更高标准、更实举措推进全面从严治党_为实现“十五五”时期目标任务提供坚强保障.pdf,https://www.qstheory.cn/20260131/65c3a101107146538c8e54118ed92940/c.html
2026年第3期,3,体系化学理化研究阐释│新时代人文经济学的丰富内涵和理论贡献,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\体系化学理化研究阐释│新时代人文经济学的丰富内涵和理论贡献.pdf,https://www.qstheory.cn/20260131/c1792a5c6a154e0fb19b433c4589afec/c.html
2026年第3期,3,求是专访│怎么看我国经济顶压前行、向新向优,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\求是专访│怎么看我国经济顶压前行、向新向优.pdf,https://www.qstheory.cn/20260131/49258f0884ef4264bb720f7d8ddbad9b/c.html
2026年第3期,3,推进以县城为重要载体的城镇化建设,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\推进以县城为重要载体的城镇化建设.pdf,https://www.qstheory.cn/20260131/89b3e5f924364337a942decc9a8d1d75/c.html
2026年第3期,3,深度调研│科技创新：企业如何“唱主角”,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\深度调研│科技创新：企业如何“唱主角”.pdf,https://www.qstheory.cn/20260131/be086fff0880429e908bb6f6031e1d68/c.html
2026年第3期,3,新时代民族学自主知识体系的构建,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\新时代民族学自主知识体系的构建.pdf,https://www.qstheory.cn/20260131/069e042413a4462c964eb265ac5404c7/c.html
2026年第3期,3,打牢做好思想政治工作的基本功,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\打牢做好思想政治工作的基本功.pdf,https://www.qstheory.cn/20260131/64d379bc41184055ac077ad3f7795ee7/c.html
2026年第3期,3,文化中国│河洛文化：传承文脉谱新篇,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\文化中国│河洛文化：传承文脉谱新篇.pdf,https://www.qstheory.cn/20260131/78625c1a5aa74df1aaaf005aaa7b0d86/c.html
2026年第3期,3,动画电影：打开中国电影发展新空间,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\动画电影：打开中国电影发展新空间.pdf,https://www.qstheory.cn/20260131/300477ca145144f18ad099b048ccdfa1/c.html
2026年第3期,3,认清“新门罗主义”真面目,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\认清“新门罗主义”真面目.pdf,https://www.qstheory.cn/20260131/2f620099253a451f839d1f52d7a8ec5f/c.html
2026年第3期,3,领导干部要带头增强法治意识,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\领导干部要带头增强法治意识.pdf,https://www.qstheory.cn/20260131/c7fafeb7621148d9ad420241a0fb27b0/c.html
2026年第3期,3,谈心谈话不能“走过场”,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\谈心谈话不能“走过场”.pdf,https://www.qstheory.cn/20260131/97b0a1ddf3674930a59b11282d9e30f1/c.html
2026年第3期,3,警惕三种歪论毒害干部家风 等2则（党刊精选）,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\警惕三种歪论毒害干部家风_等2则（党刊精选）.pdf,https://www.qstheory.cn/20260131/f78c58b9dcf64fb4a9f3b13b00b57182/c.html
2026年第3期,3,经济社会发展统计图表：2025年1—12月国民经济主要指标,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\经济社会发展统计图表：2025年1—12月国民经济主要指标.pdf,https://www.qstheory.cn/20260131/93899b9070224f0282fc331244a27ace/c.html
2026年第3期,3,英雄航天员陈冬、陈中瑞、王杰（英模人物）,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_03\英雄航天员陈冬、陈中瑞、王杰（英模人物）.pdf,https://www.qstheory.cn/20260131/cd98cc32687f4cb8ad7061c27bc3d4b1/c.html
2026年第4期,4,本期导读,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\本期导读.pdf,https://www.qstheory.cn/20260214/d67bdd2d75924d28bc11d8ca11bea945/c.html
2026年第4期,4,当前经济工作的重点任务,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\当前经济工作的重点任务.pdf,https://www.qstheory.cn/20260214/a9022461555c48e6a2f2e4fef36878a9/c.html
2026年第4期,4,开局之年经济工作怎么干,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\开局之年经济工作怎么干.pdf,https://www.qstheory.cn/20260214/ff193e10db01437f80dd34e7b18d5ee9/c.html
2026年第4期,4,坚持稳中求进、提质增效 努力实现“十五五”良好开局,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\坚持稳中求进、提质增效_努力实现“十五五”良好开局.pdf,https://www.qstheory.cn/20260214/b644f10623b4485e89c88b33c27b2f31/c.html
2026年第4期,4,当前扩大内需须在供需两侧协同发力,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\当前扩大内需须在供需两侧协同发力.pdf,https://www.qstheory.cn/20260214/30226dfdbfb846649f942d826f47f056/c.html
2026年第4期,4,促进城乡居民收入稳步增长,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\促进城乡居民收入稳步增长.pdf,https://www.qstheory.cn/20260214/5f6eae815da849aa94050101184fbfcd/c.html
2026年第4期,4,体系化学理化研究阐释│法治之魂论,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\体系化学理化研究阐释│法治之魂论.pdf,https://www.qstheory.cn/20260214/f410c8f7798c41e89ed15604d92c4915/c.html
2026年第4期,4,提高民政工作服务民生水平,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\提高民政工作服务民生水平.pdf,https://www.qstheory.cn/20260214/a76c32cf6c5d4b4cb2151261eadfd112/c.html
2026年第4期,4,求是专访│如何坚持政策支持和改革创新并举,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\求是专访│如何坚持政策支持和改革创新并举.pdf,https://www.qstheory.cn/20260214/af6f2fd6c71f4f83b0e30604587e3f66/c.html
2026年第4期,4,深度调研│数字产业高质量发展的现实问题与有效路径,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\深度调研│数字产业高质量发展的现实问题与有效路径.pdf,https://www.qstheory.cn/20260214/33cd445319b64e508d353cb65ff44e9a/c.html
2026年第4期,4,农业农村现代化要抓住农民这个关键,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\农业农村现代化要抓住农民这个关键.pdf,https://www.qstheory.cn/20260214/e5d87781fdfe4c72b584b857b0531f11/c.html
2026年第4期,4,善于通过科学立法解决新问题,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\善于通过科学立法解决新问题.pdf,https://www.qstheory.cn/20260214/edd231fb83b4413898627f46a2e6a718/c.html
2026年第4期,4,文化中国│关中文化与时偕行,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\文化中国│关中文化与时偕行.pdf,https://www.qstheory.cn/20260214/7a61845931b34078a65956da18705c9e/c.html
2026年第4期,4,如何建构中国新闻传播学自主知识体系,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\如何建构中国新闻传播学自主知识体系.pdf,https://www.qstheory.cn/20260214/7306276f50cb4aa5bc5ad3c31acc823f/c.html
2026年第4期,4,从《太平年》看历史剧创作生产,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\从《太平年》看历史剧创作生产.pdf,https://www.qstheory.cn/20260214/05682ac63202455999630932cb893290/c.html
2026年第4期,4,怎么看全球产业格局之变,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\怎么看全球产业格局之变.pdf,https://www.qstheory.cn/20260214/91e2d29ea54a41e2862735e2f0641452/c.html
2026年第4期,4,“新门罗主义”背后的霸权焦虑,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\“新门罗主义”背后的霸权焦虑.pdf,https://www.qstheory.cn/20260214/be980ec031564c889c09cb89a834a179/c.html
2026年第4期,4,“老好人”做不得,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\“老好人”做不得.pdf,https://www.qstheory.cn/20260214/1bafcda72f124471a7f08b8635cd13a4/c.html
2026年第4期,4,别拿“请示汇报”当锅甩 等2则（党刊精选）,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\别拿“请示汇报”当锅甩_等2则（党刊精选）.pdf,https://www.qstheory.cn/20260214/dcd1c6f362084f83853447ba47320804/c.html
2026年第4期,4,经济社会发展统计图表：“农业、农村、农民”领域主要指标,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\经济社会发展统计图表：“农业、农村、农民”领域主要指标.pdf,https://www.qstheory.cn/20260214/7f1f58a905b84524b21fda5860929764/c.html
2026年第4期,4,“时代楷模”董亦军（英模人物）,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_04\“时代楷模”董亦军（英模人物）.pdf,https://www.qstheory.cn/20260214/0c8b4bc88a8f435784af932d182d759d/c.html
2026年第5期,5,本期导读,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\本期导读.pdf,https://www.qstheory.cn/20260228/4e0fbc6e91ed4deb9f3861cb890a0a34/c.html
2026年第5期,5,让愿担当、敢担当、善担当蔚然成风,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\让愿担当、敢担当、善担当蔚然成风.pdf,https://www.qstheory.cn/20260228/b5be98bf8eb34c5781a14fbeb3eab546/c.html
2026年第5期,5,在中国式现代化建设中挺膺担当,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\在中国式现代化建设中挺膺担当.pdf,https://www.qstheory.cn/20260228/7af6ec7764ed4a63a562a6f33c6890b6/c.html
2026年第5期,5,以正确选人用人导向激励干部担当作为,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\以正确选人用人导向激励干部担当作为.pdf,https://www.qstheory.cn/20260228/67bc8e7ae21b47cdaac68ed7bee7667f/c.html
2026年第5期,5,领导干部要提高担重担难能力,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\领导干部要提高担重担难能力.pdf,https://www.qstheory.cn/20260228/f81cf18db4e34e3fa46ca37147823050/c.html
2026年第5期,5,以正确政绩观开创中国式现代化新局面,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\以正确政绩观开创中国式现代化新局面.pdf,https://www.qstheory.cn/20260228/aaa5c4439e54499883e90f3c4cc1aa01/c.html
2026年第5期,5,进一步增强宏观政策取向一致性,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\进一步增强宏观政策取向一致性.pdf,https://www.qstheory.cn/20260228/59487a407900464d918db8b7f1c29c96/c.html
2026年第5期,5,体系化学理化研究阐释│,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\体系化学理化研究阐释│.pdf,https://www.qstheory.cn/20260228/69b9637be9f84f98bbe3399eb6ad8d12/c.html
2026年第5期,5,走出一条农业产业化发展的江西路子,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\走出一条农业产业化发展的江西路子.pdf,https://www.qstheory.cn/20260228/f4bae99f30f749b5b1384f39393170f3/c.html
2026年第5期,5,以高水平数据基础设施助力数字中国建设,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\以高水平数据基础设施助力数字中国建设.pdf,https://www.qstheory.cn/20260228/b97f48ebe2f74b80b1c0249632f27b73/c.html
2026年第5期,5,着力破解周期性、结构性和体制性问题,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\着力破解周期性、结构性和体制性问题.pdf,https://www.qstheory.cn/20260228/52496708255342c8a7b1f77665693635/c.html
2026年第5期,5,求是专访│如何做到既“放得活”又“管得好”,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\求是专访│如何做到既“放得活”又“管得好”.pdf,https://www.qstheory.cn/20260228/583be8f373a6419da2643c00723e4dcc/c.html
2026年第5期,5,深度调研│闽宁协作“海鱼陆养”的探索和启示,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\深度调研│闽宁协作“海鱼陆养”的探索和启示.pdf,https://www.qstheory.cn/20260228/1d50fcdccee94dffa4cc86d90d5b4ca3/c.html
2026年第5期,5,文化中国│齐鲁文化：千年赓续与时代绽放,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\文化中国│齐鲁文化：千年赓续与时代绽放.pdf,https://www.qstheory.cn/20260228/e74eef4217a64c63bea0926e432f7fb5/c.html
2026年第5期,5,苔花如米小，也学牡丹开,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\苔花如米小，也学牡丹开.pdf,https://www.qstheory.cn/20260228/36ba3f06a775428a8abbbf3194c6fe2a/c.html
2026年第5期,5,怎么看全球地缘格局之变,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\怎么看全球地缘格局之变.pdf,https://www.qstheory.cn/20260228/bf5de6dcc34441779107199d4e7879dc/c.html
2026年第5期,5,中国式现代化和非洲发展之路,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\中国式现代化和非洲发展之路.pdf,https://www.qstheory.cn/20260228/94aaa791b46c4214bde52fb09b30dac9/c.html
2026年第5期,5,让“两面人”无处遁形,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\让“两面人”无处遁形.pdf,https://www.qstheory.cn/20260228/30efce38a2c6496baa751399c6fc4a0c/c.html
2026年第5期,5,统计图表：2025年规模以上工业生产主要数据,,,,,F:\WorkBuddy\2026-07-21-06-30-02\qiushi_2026\pdf\issue_2026_05\统计图表：2025年规模以上工业生产主要数据.pdf,https://www.qstheory.cn/20260228/080225ff3dfe49e5a41886adebbc5bed/c.html
